title,link
Linux.Kernel.ksmbd.Compounded.Session.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/54512
Pi-Hole.AdminLTE.phpqueryads.Unauthorized.Access,https://www.fortiguard.com/encyclopedia/ips/53602
PepperlFuchs.IO-Link.Master.Null.Pointer.Dereference.DoS,https://www.fortiguard.com/encyclopedia/ips/52983
Siemens.SIMATIC.S7-1200.CPU.filtervalue.XSS,https://www.fortiguard.com/encyclopedia/ips/53330
Adobe.InDesign.CVE-2023-29317.Memory.Leak,https://www.fortiguard.com/encyclopedia/ips/53285
Samsung.Galaxy.AppStore.Javascript.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/52792
dotCMS._fixconflictsfromremote.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/52647
Delta.Industrial.Automation.DIAEnergie.PutShift.Stored.XSS,https://www.fortiguard.com/encyclopedia/ips/52419
Apache.JSPWiki.AJAXPreview.jsp.Reflected.XSS,https://www.fortiguard.com/encyclopedia/ips/52153
FFmpeg.m3u8.File.EXTINF.Duration.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/52058
